city_id,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date_time
107,thompson,55.7435,-97.8558,-3.84,79,100,5.79,CA,2026-03-04 15:11:08
108,soe,-9.8607,124.284,68.52,86,100,4.05,ID,2026-03-04 15:12:52
109,dwarka,22.2394,68.9678,73.42,75,0,13.31,IN,2026-03-04 15:12:52
110,avarua,-21.2078,-159.775,81.81,73,93,13.06,CK,2026-03-04 15:12:52
111,paramonga,-10.6667,-77.8333,75.47,75,90,9.13,PE,2026-03-04 15:12:52
112,ar rutbah,33.0381,40.2848,47.7,41,96,15.75,IQ,2026-03-04 15:12:52
113,utrik,11.2278,169.8474,81.36,79,99,11.23,MH,2026-03-04 15:12:52
114,antsiranana,-12.2787,49.2917,75.49,91,81,7.05,MG,2026-03-04 15:12:52
115,rongelap,11.1635,166.8941,81.37,76,100,9.66,MH,2026-03-04 15:12:52
116,margaret river,-33.95,115.0667,58.01,88,10,9.26,AU,2026-03-04 15:12:53
117,anadyr,64.75,177.4833,-22.56,96,84,8.79,RU,2026-03-04 15:12:53
118,badger,64.8,-147.5333,-6.7,83,7,0.31,US,2026-03-04 15:12:53
119,puerto santa,-8.9906,-78.6456,76.46,74,63,7.96,PE,2026-03-04 15:12:53
120,beni,0.5,29.4667,67.05,72,100,3.78,CD,2026-03-04 15:12:53
